y,x1,x2,x3,x4
-0.033034844,-0.021054916,-0.081527218,0.01315,0.0045231
-0.007061161,-0.009423503,0.092879682,0.013,0.0044154
0.095191304,0.043984331,0.051468742,0.01395,0.0043385
-0.002934191,0.009755575,0.028533906,0.0128,0.0039615
-0.116546385,-0.028559295,-0.141381312,0.0126,0.0038769
-0.0395201,-0.030928962,0.02244153,0.01085,0.0038077
0.016483634,-0.025938874,0.043897924,0.01055,0.0037308
-0.074784268,-0.02454556,-0.089043699,0.00975,0.0036308
0.061795817,-0.011038576,0.111929922,0.0093,0.0035538
-0.017813402,-0.03168507,0.018256846,0.0092,0.0033615
0.079825481,0.041646009,0.032911703,0.01185,0.0033538
0.029372932,-0.029985721,0.086434431,0.0111,0.0033538
0.000879858,0.006501472,0.008864084,0.01215,0.0033538
0.037719576,-0.004509445,0.051849441,0.01255,0.0033538
-0.0817943,0.014324192,0.100546561,0.01255,0.0033615
0.009701592,-0.014966807,0.06755997,0.012,0.0033286
-0.015838997,-0.000122534,-0.098569297,0.0115,0.0033214
0.012622592,-0.014460784,-0.070886076,0.0113,0.0033214
0.001725738,-0.035065904,0.002934395,0.0108,0.0033214
-0.089273601,-0.013015464,-0.07199582,0.0103,0.0032857
-0.028465026,0.001566784,-0.108208535,0.0102,0.0032929
0.033113839,0.027375831,0.176641414,0.01045,0.0032929
-0.061610589,-0.010024109,0.076939586,0.01065,0.0032929
0.002458916,-0.00563958,-0.015245118,0.0098,0.0032929
0.041058028,-0.016499098,-0.003541435,0.00965,0.0033077
0.104598575,0.05491481,0.087225833,0.00955,0.0033167
0.037057606,0.020996397,-0.037825721,0.00985,0.0033167
-0.055800729,-0.017400827,0.017957678,0.00885,0.0033167
-0.102738294,-0.024024768,-0.174883189,0.0083,0.0033167
0.054321043,0.010150996,-0.018143996,0.0083,0.0033455
-0.034609483,-0.016706444,0.036487759,0.0078,0.0032727
0.016658884,0.002427184,0.095503066,0.00795,0.0032727
0.003421981,-0.011341914,-0.044366124,0.00765,0.0032727
0.006553433,0.027713328,-0.064540623,0.00775,0.0032636
0.057986468,0.036498181,0.030960111,0.007,0.0031818
0.100483696,0.0446515,0.032729727,0.00795,0.0030818
0.071521609,0.053168076,0.061751252,0.0074,0.0029182
0.037769355,0.015838099,-0.055800595,0.00665,0.0026909
0.072542944,0.018297964,0.056273764,0.0056,0.0025
0.117999727,0.040191388,-0.038774041,0.006,0.0022818
-0.006227608,0.028723296,-0.015942649,0.0086,0.0022818
-0.007057949,-0.017984897,0.049907579,0.00855,0.0022818
-0.000658024,-0.009814834,0.087717481,0.00795,0.00228
-0.020445819,0.002145923,0.024945254,0.0072,0.00228
0.079688637,-0.001835424,-0.049419415,0.0068,0.00228
-0.008844893,0.004596997,-0.058145216,0.0059,0.00221
0.093099915,0.039760016,-0.037974684,0.006,0.0022
0.040189326,0.030513447,0.06147541,0.00735,0.0022
-0.084510085,-0.027237354,-0.009449299,0.0062,0.0022
